model,method,sft_lr,grpo_kl,exp_name,dataset,step,mean_at_1,mean_at_32
Qwen2.5-0.5B,progdistill,sftlr=1e-5,kl=3e-4,balanced-progdistill-sftlr1e-5-grpo-lr1e-6-kl3e-4-seed1,balanced6,600,0.048,0.14658749999999748
Qwen2.5-0.5B,progdistill,sftlr=1e-5,kl=3e-4,balanced-progdistill-sftlr1e-5-grpo-lr1e-6-kl3e-4-seed1,balanced6,750,0.053,0.14619374999999737
Qwen2.5-0.5B,progdistill,sftlr=1e-5,kl=3e-4,balanced-progdistill-sftlr1e-5-grpo-lr1e-6-kl3e-4-seed1,balanced6,900,0.055,0.15319999999999726
Qwen2.5-0.5B,progdistill,sftlr=1e-5,kl=3e-4,balanced-progdistill-sftlr1e-5-grpo-lr1e-6-kl3e-4-seed1,balanced6,1050,0.065,0.1537624999999972
Qwen2.5-0.5B,progdistill,sftlr=1e-5,kl=3e-4,balanced-progdistill-sftlr1e-5-grpo-lr1e-6-kl3e-4-seed1,balanced6,1200,0.048,0.14368749999999725
Qwen2.5-0.5B,progdistill,sftlr=1e-5,kl=3e-4,balanced-progdistill-sftlr1e-5-grpo-lr1e-6-kl3e-4-seed1,balanced6,1400,0.047,0.1458499999999972
Qwen2.5-0.5B,progdistill,sftlr=1e-5,kl=3e-4,balanced-progdistill-sftlr1e-5-grpo-lr1e-6-kl3e-4-seed1,balanced6,1600,0.061,0.1561999999999973
Qwen2.5-0.5B,progdistill,sftlr=1e-6,kl=3e-4,balanced-progdistill-sftlr1e-6-grpo-lr1e-6-kl3e-4-seed1,balanced,150,0.7432296890672017,0.7841681293881657
Qwen2.5-0.5B,progdistill,sftlr=1e-6,kl=3e-4,balanced-progdistill-sftlr1e-6-grpo-lr1e-6-kl3e-4-seed1,balanced,300,0.6529588766298897,0.675589267803413
Qwen2.5-0.5B,progdistill,sftlr=1e-6,kl=3e-4,balanced-progdistill-sftlr1e-6-grpo-lr1e-6-kl3e-4-seed1,balanced,450,0.4453360080240722,0.4972323219659031
Qwen2.5-0.5B,progdistill,sftlr=1e-6,kl=3e-4,balanced-progdistill-sftlr1e-6-grpo-lr1e-6-kl3e-4-seed1,balanced,600,0.43931795386158473,0.4949912236710197
Qwen2.5-0.5B,progdistill,sftlr=1e-6,kl=3e-4,balanced-progdistill-sftlr1e-6-grpo-lr1e-6-kl3e-4-seed1,balanced,750,0.4974924774322969,0.5525952858575792
Qwen2.5-0.5B,progdistill,sftlr=1e-6,kl=3e-4,balanced-progdistill-sftlr1e-6-grpo-lr1e-6-kl3e-4-seed1,balanced,900,0.4934804413239719,0.5534948595787427
Qwen2.5-0.5B,progdistill,sftlr=1e-6,kl=3e-4,balanced-progdistill-sftlr1e-6-grpo-lr1e-6-kl3e-4-seed1,balanced,1050,0.28284854563691075,0.3526109578736256
Qwen2.5-0.5B,progdistill,sftlr=1e-6,kl=3e-4,balanced-progdistill-sftlr1e-6-grpo-lr1e-6-kl3e-4-seed1,balanced,1200,0.3741223671013039,0.4383306168505559
Qwen2.5-0.5B,progdistill,sftlr=1e-6,kl=3e-4,balanced-progdistill-sftlr1e-6-grpo-lr1e-6-kl3e-4-seed1,balanced,1400,0.3721163490471414,0.42839455867603093
Qwen2.5-0.5B,progdistill,sftlr=1e-6,kl=3e-4,balanced-progdistill-sftlr1e-6-grpo-lr1e-6-kl3e-4-seed1,balanced,1600,0.3420260782347041,0.3904055917753277
Qwen2.5-0.5B,progdistill,sftlr=1e-6,kl=3e-4,balanced-progdistill-sftlr1e-6-grpo-lr1e-6-kl3e-4-seed1,balanced5,150,0.296,0.36436562500000286
Qwen2.5-0.5B,progdistill,sftlr=1e-6,kl=3e-4,balanced-progdistill-sftlr1e-6-grpo-lr1e-6-kl3e-4-seed1,balanced5,300,0.204,0.28874374999999874
Qwen2.5-0.5B,progdistill,sftlr=1e-6,kl=3e-4,balanced-progdistill-sftlr1e-6-grpo-lr1e-6-kl3e-4-seed1,balanced5,450,0.095,0.17958124999999742
Qwen2.5-0.5B,progdistill,sftlr=1e-6,kl=3e-4,balanced-progdistill-sftlr1e-6-grpo-lr1e-6-kl3e-4-seed1,balanced5,600,0.121,0.2094437499999969
Qwen2.5-0.5B,progdistill,sftlr=1e-6,kl=3e-4,balanced-progdistill-sftlr1e-6-grpo-lr1e-6-kl3e-4-seed1,balanced5,750,0.129,0.21918749999999745
Qwen2.5-0.5B,progdistill,sftlr=1e-6,kl=3e-4,balanced-progdistill-sftlr1e-6-grpo-lr1e-6-kl3e-4-seed1,balanced5,900,0.162,0.24551249999999736
Qwen2.5-0.5B,progdistill,sftlr=1e-6,kl=3e-4,balanced-progdistill-sftlr1e-6-grpo-lr1e-6-kl3e-4-seed1,balanced5,1050,0.067,0.15889062499999915
Qwen2.5-0.5B,progdistill,sftlr=1e-6,kl=3e-4,balanced-progdistill-sftlr1e-6-grpo-lr1e-6-kl3e-4-seed1,balanced5,1200,0.108,0.19413437499999922
Qwen2.5-0.5B,progdistill,sftlr=1e-6,kl=3e-4,balanced-progdistill-sftlr1e-6-grpo-lr1e-6-kl3e-4-seed1,balanced5,1400,0.117,0.19533437499999923
Qwen2.5-0.5B,progdistill,sftlr=1e-6,kl=3e-4,balanced-progdistill-sftlr1e-6-grpo-lr1e-6-kl3e-4-seed1,balanced5,1600,0.096,0.1763531249999995
Qwen2.5-0.5B,progdistill,sftlr=1e-6,kl=3e-4,balanced-progdistill-sftlr1e-6-grpo-lr1e-6-kl3e-4-seed1,balanced6,150,0.072,0.15865937499999763
Qwen2.5-0.5B,progdistill,sftlr=1e-6,kl=3e-4,balanced-progdistill-sftlr1e-6-grpo-lr1e-6-kl3e-4-seed1,balanced6,300,0.051,0.14404062499999784
